"j","k","method","ISE_MC"
4,14,"LL",0.000204849522447277
4,14,"NW",0.00239386370758025
4,20,"LL",0.000158617172433127
4,20,"NW",0.00201711669240928
5,7,"LL",0.00139003741005042
5,7,"NW",0.0101704561062191
5,10,"LL",0.000727069017593158
5,10,"NW",0.00659421742170208
5,14,"LL",0.000421681175219701
5,14,"NW",0.00887466564642703
5,20,"LL",0.000288151723028567
5,20,"NW",0.00787535737623305
6,7,"LL",0.000456857177907115
6,7,"NW",0.0158444603299016
6,10,"LL",0.000397290768534652
6,10,"NW",0.00396785570438167
6,14,"LL",0.000202342789944493
6,14,"NW",0.00479605405417799
6,20,"LL",9.72201869834753e-05
6,20,"NW",0.00615052160796202
1,7,"LL",0.00019633969048242
1,7,"NW",0.000755715155550868
1,10,"LL",7.49242401489793e-05
1,10,"NW",0.00033837275602475
1,14,"LL",4.61182079778443e-05
1,14,"NW",0.000284695919943214
1,20,"LL",1.88092659689373e-05
1,20,"NW",0.000222201481437423
2,7,"LL",9.03916029739497e-05
2,7,"NW",0.000758893512190729
2,10,"LL",2.76779445915517e-05
2,10,"NW",0.00101477953369737
2,14,"LL",2.4758921175622e-05
2,14,"NW",0.000500356094828704
2,20,"LL",1.15748766991787e-05
2,20,"NW",0.000704543490418583
3,7,"LL",0.000249141333296942
3,7,"NW",0.00349289645305619
3,10,"LL",0.000118094726868284
3,10,"NW",0.00331689081044349
3,14,"LL",9.92676069696536e-05
3,14,"NW",0.00274702189856876
3,20,"LL",6.46965458797242e-05
3,20,"NW",0.00279262023877203
4,7,"LL",0.000550544435153204
4,7,"NW",0.00262772135272607
4,10,"LL",0.000341431605722435
4,10,"NW",0.00288442077158243
4,14,"LL",0.000206807084195851
4,14,"NW",0.00188054206594373
4,20,"LL",0.000147740622612181
4,20,"NW",0.00263519493858476
5,7,"LL",0.00104560717668005
5,7,"NW",0.0120867712605979
5,10,"LL",0.000627325056973557
5,10,"NW",0.00663508372581779
5,14,"LL",0.00062558408429542
5,14,"NW",0.0119528979415958
5,20,"LL",0.000286739745413016
5,20,"NW",0.00932885518958369
6,7,"LL",0.000319537532107131
6,7,"NW",0.00943714876236383
6,10,"LL",0.000491540207439648
6,10,"NW",0.00479192248918791
6,14,"LL",0.000256087116447233
6,14,"NW",0.00611056346435712
6,20,"LL",9.54215348744484e-05
6,20,"NW",0.00611728914146633
1,7,"LL",0.000156439104293163
1,7,"NW",0.000395634061748089
1,10,"LL",3.98183229608566e-05
1,10,"NW",0.000300412834640875
1,14,"LL",3.07670336520585e-05
1,14,"NW",0.000264497370933425
1,20,"LL",2.68792860433661e-05
1,20,"NW",0.000287936464971703
2,7,"LL",5.3333169489448e-05
2,7,"NW",0.001170099515676
2,10,"LL",4.91952966563992e-05
2,10,"NW",0.00127402331553464
2,14,"LL",1.49172102413187e-05
2,14,"NW",0.000733707068494167
2,20,"LL",1.12748781683761e-05
2,20,"NW",0.000763043134405792
3,7,"LL",0.000226995162723398
3,7,"NW",0.00455965116109849
3,10,"LL",0.000139290820522431
3,10,"NW",0.00320400159795086
3,14,"LL",0.000103079099695453
3,14,"NW",0.00175970366323987
3,20,"LL",6.3846175132962e-05
3,20,"NW",0.00205143935631632
4,7,"LL",0.000542582587636577
