"j","k","method","ISE_MC"
3,14,"LL",0.000150141052821125
3,14,"NW",0.000724454095575709
1,7,"GM",0.00128684655030746
1,7,"LL",0.000286523479373853
1,7,"NW",0.000959477616633295
1,10,"GM",0.00105270733569766
1,10,"LL",0.000171523155074155
1,10,"NW",0.000583235831284553
1,14,"GM",0.000755779641976156
1,14,"LL",0.000111900826329182
1,14,"NW",0.000407010833757847
2,7,"GM",0.00574051346073967
2,7,"LL",0.000857405218542953
2,7,"NW",0.00290017924334802
2,10,"GM",0.00393360352762993
2,10,"LL",0.000550693061708872
2,10,"NW",0.00190233032972183
2,14,"GM",0.00380869499765334
2,14,"LL",0.00040700474562921
2,14,"NW",0.00111916624661143
3,7,"GM",0.00415398422412083
3,7,"LL",0.000386912674965205
3,7,"NW",0.00199068545232252
3,10,"GM",0.00288509633777526
3,10,"LL",0.000235966097538751
3,10,"NW",0.00121893818211593
3,14,"GM",0.00229980355360215
3,14,"LL",0.000152939797725324
3,14,"NW",0.000647880000837878
1,7,"GM",0.00130931613569337
1,7,"LL",0.000292188930192848
1,7,"NW",0.000872827750180755
1,10,"GM",0.000932515991384379
1,10,"LL",0.000164988948078029
1,10,"NW",0.000608698112762852
1,14,"GM",0.000876964475403266
1,14,"LL",0.000108487288759915
1,14,"NW",0.000382001809789731
